ID,date,campaign_type,region,customer_age_range,gender,sales,units_sold,clients_engaged,click_rate,conversion_rate,satisfaction_client (%)
Kq6531,2/19/2019,Online Advertising,East,56+,Male,100735.32,64,2364,0.13,0.13,92.2
Zh5785,4/8/2019,Online Advertising,North,56+,Female,15722.29,77,684,0.24,0.13,72.6
Si1260,6/28/2018,TV,NA,26-35,NA,35385.73,1,2299,0.51,0.08,55.0
Hl5016,6/10/2019,NA,West,NA,NA,116045.5,44,2332,0.97,0.09,68.0
Dj9025,7/14/2018,Email,East,36-45,NA,65039.93,20,2564,0.36,0.26,50.8
Ze4394,7/26/2020,Online Advertising,NA,26-35,Male,18297.64,2,1143,1.23,0.19,45.4
Xv7858,2/15/2021,Social Networks,North,NA,Others,107482.48,14,769,0.45,0.2,46.2
Tt1413,8/15/2021,Online Advertising,West,56+,Others,25860.63,67,801,0.35,0.07,42.0
Hx3207,6/6/2021,TV,South,56+,NA,22560.3,33,946,0.12,0.15,46.2
Rt1355,6/21/2021,Online Advertising,South,36-45,Male,125097.88,81,994,0.39,0.07,98.8
Ed9731,11/3/2020,NA,NA,18-25,Male,38282.45,51,1138,1.48,0.06,52.4
Iu3938,10/29/2021,Social Networks,NA,NA,Male,15095.75,85,279,0.87,0.3,71.6
Mw1800,10/27/2019,Online Advertising,NA,18-25,NA,72862.27,3,2999,1.11,0.18,56.8
Ij7735,8/25/2019,Direct Advertising,North,26-35,Others,99738.78,78,584,1.34,0.17,47.4
Et7116,6/15/2022,Direct Advertising,North,46-55,Male,126603.98,82,799,1.46,0.2,76.6
Rf9897,11/27/2022,Email,West,26-35,Others,80916.48,40,1812,0.23,0.12,82.8
Hg7549,12/10/2019,Social Networks,East,26-35,Female,72432.95,90,1214,1.04,0.05,79.8
Da4876,10/7/2020,Direct Advertising,South,18-25,Female,44917.26,32,1792,0.19,0.3,20.6
Lw4400,1/19/2021,Online Advertising,NA,18-25,NA,123649.33,69,1501,0.75,0.07,36.4
Xl6776,8/10/2020,Online Advertising,NA,18-25,Female,139566.39,79,1312,1.33,0.12,26.2
Bw1951,12/14/2018,Online Advertising,West,36-45,NA,133715.21,65,2230,1.03,0.04,59.6
Zr7643,10/13/2020,Online Advertising,NA,46-55,Male,35054.32,71,2690,0.75,0.17,58.4
Lp8977,7/31/2022,Social Networks,North,36-45,Female,37414.93,1,982,1.48,0.02,84.4
Lc7586,10/10/2021,Online Advertising,West,36-45,Female,35617.84,16,1851,0.24,0.16,75.2
Ez5038,4/19/2020,Online Advertising,West,NA,Female,127509.7,31,2535,1.06,0.19,27.0
Ja2729,1/26/2018,Direct Advertising,North,18-25,Others,95342.49,97,1632,0.97,0.14,41.4
Sc2379,6/3/2019,Online Advertising,North,18-25,NA,122777.21,77,73,0.76,0.13,35.0
Qv5644,12/20/2021,Social Networks,West,26-35,NA,35635.08,63,731,0.76,0.23,22.6
Vc6165,7/31/2022,Social Networks,NA,26-35,Others,117107.03,2,2124,1.28,0.22,64.0
Ha8589,11/25/2022,TV,NA,46-55,Male,96146.68,49,1498,0.23,0.28,79.4
Qj2798,7/30/2018,Email,NA,26-35,NA,149706.25,82,1770,1.33,0.08,47.8
Xz7360,7/20/2020,Online Advertising,East,56+,Others,10180.03,72,1772,0.13,0.04,91.0
Uf8015,6/2/2022,Direct Advertising,East,46-55,NA,120367.85,25,579,1.19,0.07,46.2
Gi1608,8/16/2019,Online Advertising,NA,18-25,Female,116311.9,91,1444,1.46,0.14,58.0
Hl7980,7/9/2019,Direct Advertising,South,18-25,Others,79782.96,29,2550,1.33,0.21,93.2
Tx9863,1/8/2019,Email,East,26-35,Male,74551.94,57,2857,0.5,0.18,59.6
Cc7638,4/23/2020,TV,NA,26-35,Others,123712.91,76,2884,0.14,0.27,22.0
