,ID,date,campaign_type,region,customer_age_range,gender,sales,units_sold,clients_engaged,click_rate,conversion_rate
0,Kq6531,2019-02-19 00:00:00.000000000,Online Advertising,East,56+,Male,100735.32,64.0,2364.0,0.13,0.13
1,Zh5785,2019-04-08 00:00:00.000000000,Online Advertising,North,56+,Female,15722.29,77.0,684.0,0.24,0.13
2,Si1260,2018-06-28 00:00:00.000000000,TV,North,26-35,Male,35385.73,1.0,2299.0,0.51,0.08
3,Hl5016,2019-06-10 00:00:00.000000000,Online Advertising,West,36-45,Male,116045.5,44.0,2332.0,0.97,0.09
4,Dj9025,2018-07-14 00:00:00.000000000,Email,East,36-45,Male,65039.93,20.0,2564.0,0.36,0.26
5,Ze4394,2020-07-26 00:00:00.000000000,Online Advertising,North,26-35,Male,18297.64,2.0,1143.0,1.23,0.19
6,Xv7858,2021-02-15 00:00:00.000000000,Social Networks,North,36-45,Others,107482.48,14.0,769.0,0.45,0.2
7,Tt1413,2021-08-15 00:00:00.000000000,Online Advertising,West,56+,Others,25860.63,67.0,801.0,0.35,0.07
8,Hx3207,2021-06-06 00:00:00.000000000,TV,South,56+,Male,22560.3,33.0,946.0,0.12,0.15
9,Rt1355,2021-06-21 00:00:00.000000000,Online Advertising,South,36-45,Male,125097.88,81.0,994.0,0.39,0.07
10,Ed9731,2020-11-03 00:00:00.000000000,Online Advertising,North,18-25,Male,38282.45,51.0,1138.0,1.48,0.06
11,Iu3938,2021-10-29 00:00:00.000000000,Social Networks,North,36-45,Male,15095.75,85.0,279.0,0.87,0.3
12,Mw1800,2019-10-27 00:00:00.000000000,Online Advertising,North,18-25,Male,72862.27,3.0,2999.0,1.11,0.18
13,Ij7735,2019-08-25 00:00:00.000000000,Direct Advertising,North,26-35,Others,99738.78,78.0,584.0,1.34,0.17
14,Et7116,2022-06-15 00:00:00.000000000,Direct Advertising,North,46-55,Male,126603.98,82.0,799.0,1.46,0.2
15,Rf9897,2022-11-27 00:00:00.000000000,Email,West,26-35,Others,80916.48,40.0,1812.0,0.23,0.12
16,Hg7549,2019-12-10 00:00:00.000000000,Social Networks,East,26-35,Female,72432.95,90.0,1214.0,1.04,0.05
17,Da4876,2020-10-07 00:00:00.000000000,Direct Advertising,South,18-25,Female,44917.26,32.0,1792.0,0.19,0.3
18,Lw4400,2021-01-19 00:00:00.000000000,Online Advertising,South,18-25,Male,123649.33,69.0,1501.0,0.75,0.07
19,Xl6776,2020-08-10 00:00:00.000000000,Online Advertising,South,18-25,Female,139566.39,79.0,1312.0,1.33,0.12
20,Bw1951,2018-12-14 00:00:00.000000000,Online Advertising,West,36-45,Male,133715.21,65.0,2230.0,1.03,0.04
21,Zr7643,2020-10-13 00:00:00.000000000,Online Advertising,North,46-55,Male,35054.32,71.0,2690.0,0.75,0.17
22,Lp8977,2022-07-31 00:00:00.000000000,Social Networks,North,36-45,Female,37414.93,1.0,982.0,1.48,0.02
23,Lc7586,2021-10-10 00:00:00.000000000,Online Advertising,West,36-45,Female,35617.84,16.0,1851.0,0.24,0.16
24,Ez5038,2020-04-19 00:00:00.000000000,Online Advertising,West,36-45,Female,127509.7,31.0,2535.0,1.06,0.19
25,Ja2729,2018-01-26 00:00:00.000000000,Direct Advertising,North,18-25,Others,95342.49,97.0,1632.0,0.97,0.14
26,Sc2379,2019-06-03 00:00:00.000000000,Online Advertising,North,18-25,Male,122777.21,77.0,73.0,0.76,0.13
27,Qv5644,2021-12-20 00:00:00.000000000,Social Networks,West,26-35,Male,35635.08,63.0,731.0,0.76,0.23
28,Vc6165,2022-07-31 00:00:00.000000000,Social Networks,South,26-35,Others,117107.03,2.0,2124.0,1.28,0.22
29,Ha8589,2022-11-25 00:00:00.000000000,TV,North,46-55,Male,96146.68,49.0,1498.0,0.23,0.28
30,Qj2798,2018-07-30 00:00:00.000000000,Email,South,26-35,Male,149706.25,82.0,1770.0,1.33,0.08
31,Xz7360,2020-07-20 00:00:00.000000000,Online Advertising,East,56+,Others,10180.03,72.0,1772.0,0.13,0.04
32,Uf8015,2022-06-02 00:00:00.000000000,Direct Advertising,East,46-55,Male,120367.85,25.0,579.0,1.19,0.07
33,Gi1608,2019-08-16 00:00:00.000000000,Online Advertising,South,18-25,Female,116311.9,91.0,1444.0,1.46,0.14
34,Hl7980,2019-07-09 00:00:00.000000000,Direct Advertising,South,18-25,Others,79782.96,29.0,2550.0,1.33,0.21
35,Tx9863,2019-01-08 00:00:00.000000000,Email,East,26-35,Male,74551.94,57.0,2857.0,0.5,0.18
36,Cc7638,2020-04-23 00:00:00.000000000,TV,South,26-35,Others,123712.91,76.0,2884.0,0.14,0.27
37,Xd8609,2021-03-12 00:00:00.000000000,Social Networks,East,18-25,Male,99163.64,94.0,1675.0,1.03,0.1
38,Mo2448,2019-06-28 00:00:00.000000000,Online Advertising,West,26-35,Others,57658.11,16.0,3000.0,0.82,0.02
39,Hn8795,2019-05-05 00:00:00.000000000,Social Networks,North,18-25,Female,21539.52,97.0,2563.0,0.36,0.15
40,Xu1903,2022-07-03 00:00:00.000000000,TV,East,18-25,Male,26474.98,69.0,280.0,1.47,0.11
41,Kk8769,2022-12-04 00:00:00.000000000,Direct Advertising,South,18-25,Male,18425.64,82.0,1032.0,1.39,0.22
42,Kg9425,2020-06-23 00:00:00.000000000,TV,North,26-35,Female,137081.73,71.0,2946.0,1.21,0.17
43,Eh3460,2020-07-25 00:00:00.000000000,Direct Advertising,North,46-55,Others,117820.62,46.0,2991.0,0.93,0.19
44,Rm4327,2020-11-12 00:00:00.000000000,Online Advertising,South,46-55,Female,142444.84,88.0,1358.0,0.13,0.19
45,Xi9285,2020-07-11 00:00:00.000000000,Social Networks,West,26-35,Male,35410.79,24.0,2390.0,0.17,0.26
46,Gi7929,2020-08-13 00:00:00.000000000,Email,East,18-25,Male,35454.36,37.0,1636.0,0.29,0.12
47,Ca3906,2018-11-05 00:00:00.000000000,Direct Advertising,North,56+,Female,1611.97,57.0,1778.0,1.33,0.1
48,Sl6130,2021-03-04 00:00:00.000000000,Online Advertising,North,36-45,Male,59615.69,82.0,865.0,1.35,0.05
49,Sd1410,2021-06-01 00:00:00.000000000,Online Advertising,West,36-45,Female,122774.3,98.0,2058.0,1.07,0.06
50,Cd4721,2018-06-15 00:00:00.000000000,Email,North,36-45,Male,52263.65,34.0,717.0,0.18,0.2
51,Yr7519,2018-08-05 00:00:00.000000000,Social Networks,South,36-45,Female,105125.12,40.0,277.0,1.23,0.05
52,Rt1161,2021-08-06 00:00:00.000000000,Online Advertising,West,26-35,Male,123602.04,67.0,665.0,1.27,0.16
53,Yn4303,2019-08-04 00:00:00.000000000,Direct Advertising,South,36-45,Female,109030.82,17.0,2998.0,1.47,0.02
54,Ge1765,2018-03-13 00:00:00.000000000,Email,South,18-25,Female,119755.51,86.0,1943.0,0.9,0.23
55,Os9589,2019-08-11 00:00:00.000000000,Online Advertising,West,26-35,Male,134895.76,47.0,2716.0,0.67,0.03
56,Un9128,2022-05-18 00:00:00.000000000,Direct Advertising,South,56+,Others,133084.42,85.0,1918.0,1.32,0.11
57,Ju1466,2018-05-21 00:00:00.000000000,Direct Advertising,South,36-45,Male,112524.99,63.0,1006.0,0.58,0.16
58,Qw7871,2019-12-23 00:00:00.000000000,TV,North,36-45,Female,56714.86,100.0,343.0,1.16,0.27
59,Uy7827,2020-05-08 00:00:00.000000000,Social Networks,West,56+,Others,25970.95,2.0,993.0,0.42,0.07
60,Co2159,2018-06-02 00:00:00.000000000,TV,South,18-25,Others,42375.17,52.0,2026.0,0.27,0.01
61,Uz4962,2018-10-21 00:00:00.000000000,Social Networks,South,56+,Others,113249.06,95.0,618.0,1.47,0.23
62,Wk5773,2018-10-04 00:00:00.000000000,Online Advertising,East,46-55,Male,102635.95,99.0,2923.0,1.41,0.18
63,Lq7452,2022-01-26 00:00:00.000000000,Online Advertising,West,26-35,Others,46592.02,24.0,464.0,0.73,0.28
64,Gs7415,2018-02-10 00:00:00.000000000,Social Networks,North,18-25,Others,6669.09,47.0,512.0,0.98,0.12
65,Jw2993,2019-03-07 00:00:00.000000000,Direct Advertising,South,18-25,Male,94993.2,63.0,2508.0,1.49,0.25
66,Jo3008,2018-03-31 00:00:00.000000000,Direct Advertising,East,36-45,Female,59991.46,14.0,2201.0,0.33,0.16
67,Ax1457,2018-11-12 00:00:00.000000000,Social Networks,North,18-25,Others,54931.05,26.0,103.0,0.14,0.14
68,Fi9118,2021-05-31 00:00:00.000000000,Online Advertising,North,36-45,Others,100958.3,55.0,2833.0,0.05,0.1
69,Mm7251,2019-06-12 00:00:00.000000000,Direct Advertising,West,46-55,Male,74467.27,19.0,1222.0,0.08,0.24
70,Mo1281,2021-02-13 00:00:00.000000000,Online Advertising,North,36-45,Male,120795.69,38.0,2869.0,0.93,0.12
71,Wp4282,2022-06-18 00:00:00.000000000,Email,North,26-35,Others,50609.31,38.0,45.0,0.91,0.19
72,Cz8776,2020-02-13 00:00:00.000000000,Email,East,46-55,Female,86268.84,80.0,358.0,0.86,0.11
73,Vq2759,2020-01-17 00:00:00.000000000,Online Advertising,West,46-55,Male,6373.01,49.0,96.0,1.21,0.27
74,Qo4849,2019-04-01 00:00:00.000000000,Online Advertising,West,36-45,Female,148964.28,50.0,1605.0,0.41,0.13
75,En8458,2019-08-21 00:00:00.000000000,Social Networks,West,18-25,Male,84285.45,79.0,257.0,1.47,0.17
76,Qf9897,2020-11-28 00:00:00.000000000,Social Networks,North,46-55,Others,22701.65,77.0,2363.0,0.07,0.03
77,Qf4655,2021-03-28 00:00:00.000000000,Social Networks,East,46-55,Male,5591.69,28.0,1043.0,1.36,0.19
78,Qy1605,2020-01-22 00:00:00.000000000,Email,North,26-35,Male,84470.35,67.0,366.0,1.45,0.14
79,Kz4033,2021-05-17 00:00:00.000000000,Email,West,36-45,Others,65895.56,62.0,803.0,1.46,0.19
80,Nh6375,2019-01-09 00:00:00.000000000,Online Advertising,West,36-45,Male,21661.86,12.0,183.0,1.19,0.25
81,Qq4493,2018-02-03 00:00:00.000000000,TV,North,36-45,Female,48588.85,23.0,2132.0,0.68,0.11
