ID,satisfaction_client
Sj9135,60.053043
Tk6262,59.952328
Vb4526,60.24055
Ix1937,60.053043
Gx8555,59.952328
Um9859,59.952328
Si8837,60.24055
Ur2295,60.053043
Hz4573,60.24055
Fo7085,60.258026
Pu1600,60.24055
Iv1259,60.24055
Mq6791,60.258026
Vg5862,59.95786
Hv4872,60.258026
Gp7874,60.032097
Ir9119,60.053043
Rf1606,60.053043
Te8054,60.258026
Ij1796,60.258026
Up6956,60.053043
Oo5291,59.952328
Ai6611,60.258026
Ag6789,60.049572
Se3229,59.95786
Fb3820,60.053043
Ob5825,60.258026
Ec2770,60.053043
Wh9517,60.258026
Gg2399,60.053043
Cq3002,60.243534
Kf1882,59.952328
Jo4940,60.053043
Jx8926,60.258026
Re2374,60.24055
Fa5353,60.24055
Uv8342,60.258026
Ul5650,60.258026
Ic5700,60.053043
Yv9745,59.952328
Dj2828,59.95786
Xs8520,60.053043
El2838,60.24055
Rl4790,60.258026
Pn5850,60.053043
Sf5369,60.258026
Zw2778,60.258026
Ij2540,60.053043
Dt9125,60.053043
Rf3416,60.053043
Yj8758,60.049572
Iu9754,60.258026
Ag3631,60.258026
Kq8559,60.258026
Ub6070,60.24055
Tz3697,60.049572
Kh8563,60.258026
Jt8908,59.952328
Qg5080,60.258026
Gc8183,59.952328
Al6502,60.053043
Ur5304,60.24055
Uj5991,60.053043
Su9109,60.049572
Fh4207,60.243534
On8546,60.053043
Me3206,59.952328
Vz7360,60.258026
Px1671,60.258026
Qe8678,60.258026
Ui4251,60.24055
Vn1089,60.258026
Uq7243,60.258026
Yh5533,60.053043
Gc6558,60.243534
Ta6468,60.258026
Tb4977,60.258026
Ku4994,59.95786
Ti9940,60.053043
My5040,60.258026
Cj8535,60.24055
La6728,59.952328
Ry3028,60.258026
Ur1733,60.258026
Ck2873,59.952328
Yc2355,60.053043
Va5920,60.053043
Oc8873,60.258026
Us1322,60.258026
Wd3199,60.053043
Ua2161,60.258026
Wu5824,60.258026
Ra9490,60.258026
Wb4038,60.24055
Nu3648,60.24055
Ot3042,60.243534
Jt4632,60.258026
Ay7909,60.053043
Az3334,59.95786
Al7153,59.95543
Wi8282,60.032097
Mt3651,60.258026
Py7789,60.053043
Lc8621,60.049572
El9413,60.258026
Kp6262,59.952328
Jx2903,60.053043
By8152,59.952328
Ny7600,59.952328
Ax7458,60.258026
Of6295,60.258026
Wb4140,60.053043
Lt3235,59.95786
Sa4036,60.258026
Fr3539,60.258026
Sp9995,59.95786
Uz4638,60.24055
Rw1070,60.258026
Ga4482,60.24055
Ds8034,60.258026
Tl3113,60.049572
Bo6893,60.24055
Bd1186,60.053043
Hi9079,60.258026
Bn1382,60.24055
Gk7612,60.049572
Jw8899,60.258026
Ao8910,60.243534
Sv3763,60.258026
Ih1581,60.258026
Hb8354,60.258026
Ze3448,60.258026
At6831,60.431076
Bp3020,60.053043
It7248,59.95786
Rr5452,60.258026
Im3604,60.24055
Nn4990,60.258026
Jq1453,59.952328
Vl6762,60.258026
Oa4770,60.053043
Hs3938,60.258026
Yg6415,59.952328
Ie5794,60.053043
Po3867,59.95543
Hn3576,60.24055
Lv8266,60.053043
Gp8699,60.258026
Ki5337,60.053043
Sp7813,60.053043
Hu8368,59.952328
Xz2361,60.258026
Tr5194,60.258026
Ho4467,60.258026
Bc3871,59.95786
Gi2698,60.258026
Hm2174,60.258026
Xt9057,60.053043
Bc4696,60.243534
Gg9685,60.049572
Kc2485,60.258026
Fw2356,60.258026
Ti1480,60.053043
Eu6300,60.22606
Us1335,60.053043
Hi8822,60.258026
Sb1892,60.053043
Ut7098,60.258026
Rv2339,59.952328
Ub7738,60.24055
Dk8102,60.258026
Hn1677,60.258026
Wj1632,60.258026
Uy1796,60.258026
Fp5505,60.258026
Rt1730,60.258026
Gu8009,59.952328
Ux4511,60.258026
Sr9091,59.952328
Tj2903,60.258026
Ow6388,60.258026
Wj3814,59.952328
Rd6924,60.258026
Lz3910,59.952328
Po3219,60.053043
Us8152,60.053043
Ag3577,60.258026
Me6738,60.053043
Me5756,59.952328
Wd8934,60.258026
Kk1153,60.258026
Iq8231,59.952328
Xn5922,60.053043
At2146,60.258026
No3586,60.258026
Sp9794,60.258026
An6418,60.258026
Ht3966,60.053043
Qf3515,60.258026
Fw8114,60.258026
Gz8135,59.952328
My5731,60.053043
Ef2570,60.053043
Cc2041,60.24055
Wc8655,59.952328
Vi7320,60.258026
Gj3835,60.258026
Vr5471,59.952328
Si5800,60.258026
Ca1696,60.053043
Xp8313,60.258026
Nn6633,60.24055
Tj9581,60.258026
Mz6688,60.053043
Mo1708,60.258026
Ix5615,60.258026
Ge7536,59.95543
Vl6892,60.258026
Gr5037,60.24055
Ue2721,60.24055
Hq1069,60.258026
Tx1375,59.952328
Zw1167,60.053043
Zc8619,60.258026
Zn6954,60.258026
Nc1452,59.952328
Vh9403,60.258026
Lz6696,60.24055
Ja5987,60.053043
Oq6143,60.22606
Vk9775,60.258026
Wj9240,60.053043
Ov2326,60.258026
Vl6772,60.258026
Nj4128,60.053043
Yl1783,60.258026
Gl6872,60.243534
Zo4834,60.258026
Kw3332,60.258026
Pk5766,60.457283
Ya7317,60.24055
Cu1749,60.24055
Um2000,59.95786
Cy8826,60.053043
Ze4986,60.258026
Km1017,60.258026
Wb2632,60.053043
Ev8134,60.258026
Ln8663,60.049572
Ns3006,59.952328
Qx7560,60.258026
Vk5312,60.24055
Eg1336,60.258026
Cy1647,60.258026
Dv6736,60.049572
Oo3803,60.258026
Ac8165,60.258026
Fy4239,60.258026
Sk8614,60.053043
Uq3689,60.258026
Jn3211,60.053043
Pe3984,60.243534
So3064,60.053043
Kr6394,59.952328
Ia5695,60.258026
Jq6100,60.258026
Fo7711,59.952328
El2893,60.258026
Zd2551,60.049572
Fu8234,60.431076
Le1220,60.258026
Ti6419,60.258026
En5273,60.258026
Ph2392,60.258026
Ga9878,60.258026
Zu7455,60.24055
Bu7152,59.952328
Pk2373,59.952328
Ih1159,60.258026
It1507,59.95786
Ya9392,60.258026
Pw5436,60.24055
Cm5792,59.95786
Hy6387,60.24055
Nd1714,59.952328
Oj8686,60.243534
Zl2033,60.258026
Uj6640,60.258026
Mw4349,60.22606
Mx9063,60.258026
Pi8955,60.258026
Vh1427,60.258026
Bf9204,60.053043
Jd6994,60.24055
Nd8816,60.24055
Ii4319,60.258026
Zx3261,60.053043
Ur4572,60.053043
Vu2996,60.258026
Sb5624,60.258026
In8843,60.053043
Xr3212,60.258026
Wv4409,60.24055
Ew7136,60.243534
Zg3719,60.053043
Fe2455,60.258026
Vr1585,60.053043
Au5818,60.258026
Op4020,59.952328
Xt8777,60.053043
Qa4146,60.258026
Em4024,60.258026
Ki7985,60.22606
Le1531,60.053043
Az6932,60.24055
Xy5975,60.258026
Ip9242,59.95786
Vj9838,60.049572
Jz1586,59.952328
Xi5529,60.24055
Xu9724,60.258026
Ak9766,60.049572
Pt5479,60.258026
Oa7433,59.952328
Ck2882,59.95786
Ox5511,60.053043
Hq1882,60.053043
Ag5275,59.952328
Xv7916,60.258026
Cj9436,60.24055
Za5946,59.952328
Kt5555,60.258026
Tf8981,59.952328
Is7397,59.952328
Ve1377,59.952328
Bi3616,60.053043
Df6361,59.95786
Iq5019,60.053043
Fn5165,60.258026
Yf7557,60.053043
Fh2572,60.053043
Nq4069,60.258026
Ks4603,60.258026
Dp6403,60.24055
Ne9480,60.258026
Nz3195,61.243427
Tx2884,60.053043
Lt3307,60.053043
Ml4181,60.049572
Ae1843,60.049572
Fg3061,60.243534
Vp9562,60.053043
Sv9409,59.952328
Lp2034,60.049572
Xv1199,60.053043
Ea4746,60.053043
Fj2311,60.258026
Hc7496,60.258026
Me4589,60.24055
Xk3102,60.258026
Vl6919,60.053043
Ah2027,60.258026
Pt3069,60.243534
Ka8498,59.952328
Ya9811,59.952328
Ot5474,60.049572
Fl9449,60.053043
Aa7119,60.258026
Ta7135,60.24055
Ms9954,60.24055
Gh2254,60.258026
Dd1096,60.258026
En4163,60.258026
Bv7445,60.24055
Hj4853,60.258026
Tr5741,60.457283
Ii5049,60.053043
Ik8477,59.95543
Ax8543,59.952328
Xj8191,59.952328
Nm3252,59.952328
Rt9580,59.95786
Um6741,60.053043
Fs2133,60.053043
Dr2298,60.258026
Ks9755,59.952328
Yj8068,60.053043
Th4991,60.258026
Lb6202,60.053043
Kj6348,60.258026
Tg3313,59.95543
Zp1777,60.258026
Vo5544,60.258026
Bx5501,60.258026
Qm5630,60.258026
Mi5489,60.22606
Un8864,60.053043
Pr9846,60.053043
Uk9241,60.053043
Py4905,60.258026
Dl8243,60.258026
Ko4413,60.049572
Yd3224,60.258026
Yx7142,59.952328
Fz7038,60.258026
Tu3890,60.053043
Xe4543,60.053043
